1000 200000
227 182 75
981 74 26
164 440 83
942 865 66
79 924 4
304 878 82
948 870 29
823 119 65
922 821 104
818 114 117
918 120 114
536 9 77
850 684 7
295 976 25
559 902 18
894 367 79
443 175 38
895 673 83
296 373 11
21 258 94
20 260 37
801 161 50
463 592 100
835 297 73
142 63 68
221 118 74
654 82 5
294 572 53
585 801 101
352 714 75
626 554 26
534 765 30
849 331 86
1 828 3
771 903 32
383 454 112
850 19 90
138 995 118
711 217 13
135 245 63
198 487 13
944 753 2
461 946 96
700 146 75
907 165 84
669 555 16
41 243 13
291 1000 35
97 177 49
945 78 24
309 456 101
586 738 106
770 733 18
837 558 2
489 367 113
25 834 87
88 947 13
338 637 8
259 312 43
405 286 36
467 228 21
808 945 5
608 898 3
389 588 36
771 211 39
675 462 81
406 854 103
990 616 5
753 709 8
106 917 26
737 247 9
181 266 14
880 291 59
326 687 87
814 724 87
366 848 37
316 102 1
975 278 16
255 81 16
421 968 63
825 777 57
557 816 13
64 67 104
741 815 21
59 516 89
297 156 70
611 423 103
300 598 14
112 965 31
915 276 56
583 345 99
342 352 116
113 507 98
26 134 113
326 210 21
188 233 29
296 600 72
508 373 16
869 391 112
96 34 1
727 920 97
639 896 100
577 881 109
210 239 33
987 160 29
323 171 5
823 580 17
233 952 104
921 261 94
185 618 73
486 278 105
166 770 34
335 527 101
133 713 55
329 76 62
434 294 92
285 230 20
471 955 108
272 172 9
36 8 82
998 251 97
320 164 61
523 43 106
1 346 63
293 249 1
583 563 71
560 660 63
891 117 113
366 977 75
45 888 73
534 226 4
67 986 96
876 576 8
824 703 115
713 233 115
978 698 22
664 69 26
554 982 61
496 135 54
475 652 52
742 351 96
351 937 16
123 732 118
103 358 40
629 173 99
311 972 56
943 85 12
362 431 107
709 235 28
85 326 41
190 592 91
202 460 23
645 676 50
659 316 74
607 935 27
113 634 88
21 126 41
73 71 71
949 859 92
831 205 29
191 685 10
638 403 3
200 221 101
957 224 110
258 921 70
876 477 41
410 214 87
612 224 26
458 233 105
397 13 77
627 308 64
394 125 42
322 188 113
67 490 108
139 301 48
356 782 91
227 275 75
386 812 65
810 800 28
796 375 119
379 208 82
55 570 104
646 102 32
89 347 77
366 576 56
563 460 98
275 727 70
10 134 15
94 103 59
584 932 103
62 140 95
602 291 30
123 20 17
871 576 118
572 791 92
535 28 32
114 489 74
401 821 101
897 23 18
620 616 93
991 896 49
470 960 21
600 424 61
372 989 102
217 586 20
620 292 115
330 318 50
428 146 111
566 917 2
186 162 44
847 704 8
843 922 14
511 185 52
174 594 47
855 321 47
520 467 94
987 669 57
594 197 20
200 305 83
320 174 89
728 481 13
86 397 35
281 97 117
137 981 102
617 626 98
785 26 44
534 264 87
297 973 31
332 59 104
798 941 28
805 802 54
979 99 86
652 517 13
312 721 88
891 256 47
887 46 45
973 825 110
92 413 55
64 536 7
118 397 78
749 886 77
419 58 112
213 53 74
478 315 3
985 467 10
6 592 105
59 860 18
613 141 87
162 242 18
330 710 30
625 316 12
306 578 8
55 611 14
347 696 10
860 777 20
555 273 65
695 891 43
936 402 21
243 478 53
296 861 74
318 337 104
196 811 76
705 952 79
1000 474 76
749 689 60
950 10 118
292 312 101
760 434 61
769 930 81
422 815 63
285 519 3
759 76 11
679 525 9
97 404 42
151 324 13
310 645 55
137 736 4
741 352 84
29 416 102
400 297 88
483 946 45
886 996 50
611 62 89
787 502 83
557 966 30
493 989 119
29 645 20
607 850 50
408 561 76
466 945 94
46 431 31
214 783 92
255 978 69
517 51 32
99 313 69
662 42 14
303 717 6
636 328 38
819 506 28
102 271 114
300 518 44
57 430 100
596 524 58
993 188 2
272 580 44
322 886 102
683 977 70
800 563 109
229 909 52
237 797 82
675 17 60
507 285 71
318 364 83
109 363 119
71 839 69
974 239 100
235 426 70
774 417 105
843 358 79
648 995 102
260 919 8
471 201 71
460 669 76
364 927 5
510 962 15
22 79 117
935 489 20
219 394 79
379 308 64
531 191 34
238 233 49
555 955 74
57 105 8
27 193 108
699 135 16
391 759 43
817 614 110
241 315 49
568 425 92
530 786 23
537 493 100
66 254 106
21 846 75
739 509 63
93 785 57
427 196 31
656 983 54
199 39 94
852 448 46
9 986 120
824 260 91
203 631 49
979 431 94
662 927 63
471 450 96
116 809 103
840 72 73
536 205 26
919 622 10
395 662 33
744 968 87
563 704 108
794 315 69
426 34 39
466 433 117
36 811 69
711 320 4
300 283 93
270 845 40
217 669 84
686 799 97
434 884 103
239 874 45
181 770 35
519 765 86
749 278 79
202 777 110
388 481 7
888 449 2
437 594 10
568 952 5
98 535 40
542 642 19
257 788 77
131 582 66
77 447 86
721 975 58
821 602 72
561 241 67
195 537 50
391 687 93
787 812 28
33 667 87
662 916 116
115 201 88
329 265 55
667 557 36
967 291 103
287 786 80
511 849 96
638 710 5
871 497 56
860 416 101
634 117 50
598 543 71
41 901 73
774 472 101
928 598 57
511 44 76
558 259 113
676 587 100
488 763 39
827 568 3
611 373 80
660 832 67
605 16 43
963 125 100
624 312 57
224 106 49
110 36 107
964 47 21
315 354 105
404 373 104
968 95 51
277 590 20
47 893 45
293 590 2
823 388 72
118 803 41
315 463 19
764 729 70
521 277 72
705 348 30
168 184 43
748 757 118
487 855 61
174 329 64
62 458 100
326 379 29
398 638 91
515 723 105
140 295 18
494 107 116
846 562 111
212 368 13
93 445 11
748 420 63
913 898 21
905 865 72
690 312 58
113 760 80
626 734 7
248 595 23
407 835 113
948 654 69
925 869 27
498 370 82
938 281 35
586 692 23
546 918 90
514 548 108
83 101 120
890 494 26
839 255 41
788 439 46
663 276 80
586 61 62
688 415 40
720 567 77
600 475 93
148 892 31
897 354 72
88 334 12
932 738 88
808 642 71
425 693 60
857 47 103
476 525 57
387 787 89
506 152 16
433 940 30
987 952 103
806 513 76
878 443 63
866 434 28
84 550 31
614 527 89
85 734 92
100 323 86
761 219 36
68 179 4
687 297 95
752 740 73
13 765 63
390 68 30
494 742 19
433 56 74
953 732 43
346 197 22
634 625 10
923 252 21
201 44 71
602 398 13
807 4 43
268 26 69
166 55 11
13 404 107
489 269 88
489 322 25
560 633 58
188 119 70
869 236 103
173 982 51
57 596 50
484 558 14
307 59 70
543 783 45
681 972 114
925 775 54
483 500 105
768 270 76
336 801 43
293 670 30
362 637 97
401 883 62
60 423 14
656 431 91
574 722 71
965 586 14
567 645 117
766 185 106
583 678 101
428 791 69
118 908 112
857 590 81
784 986 25
63 620 46
596 366 51
398 694 116
18 395 99
613 356 1
844 513 83
565 678 16
515 823 3
506 364 112
79 947 45
561 659 28
16 798 62
704 213 53
783 749 71
175 500 74
419 249 47
215 715 12
142 64 74
321 379 32
821 690 2
376 637 6
482 38 58
711 284 77
814 129 100
541 464 90
515 497 71
424 399 67
382 33 72
427 946 116
448 206 93
339 491 83
444 640 7
522 749 85
6 432 54
24 833 93
622 855 19
138 442 1
200 947 61
543 708 102
333 627 72
638 661 48
616 924 40
633 846 16
830 904 61
653 328 112
314 849 98
698 186 16
483 875 100
797 84 46
286 614 95
638 717 68
797 520 119
854 628 42
195 56 4
656 111 36
861 484 78
700 351 119
415 671 74
883 316 72
834 793 113
65 889 40
391 221 40
382 344 1
154 876 47
731 173 100
633 375 6
320 641 116
102 196 108
561 101 19
142 24 21
178 602 98
317 832 5
387 69 115
51 459 6
821 565 78
434 394 1
915 17 13
384 950 55
120 770 52
579 548 5
848 820 13
747 787 118
22 604 97
985 488 90
663 684 99
486 738 72
159 421 28
732 848 93
567 693 92
114 890 100
550 48 106
136 744 97
884 672 16
713 458 88
122 663 89
448 287 21
88 752 99
90 632 63
422 883 96
569 152 117
995 980 93
584 491 55
555 105 119
766 638 89
522 322 95
244 50 105
704 242 58
972 752 98
739 551 14
638 430 94
584 916 25
341 465 2
773 605 97
139 492 60
174 400 120
248 77 73
756 867 111
496 175 22
246 97 50
808 721 49
133 516 83
824 558 105
476 605 77
976 674 16
608 292 60
495 147 85
633 325 34
137 900 19
615 205 30
746 382 12
70 755 74
788 501 49
27 35 76
442 572 69
250 408 62
37 658 111
934 241 36
453 203 47
22 945 78
837 713 120
769 522 51
733 699 3
484 506 78
